sale_year,median_price,transaction_count,type_encoded,small_area_encoded,rolling_avg_price,transaction_density
2014,501500.0,533,1,0,562500.0,0.07555996597675078
2014,895000.0,12,0,1,1133150.0,0.0010710460549803642
2014,580000.0,1098,1,1,1125000.0,0.09800071403070332
2014,1900000.0,53,0,2,1393333.3333333333,0.012670332297394215
2014,522250.0,2857,1,4,589250.0,0.08930636741583571
2014,725000.0,165,1,5,676666.6666666666,0.10229386236825791
2014,651000.0,153,1,8,574000.0,0.05144586415601883
2014,767500.0,2,0,9,628500.0,0.00011329519061915821
2014,850000.0,27,0,10,673000.0,0.007599211933577259
2015,432500.0,277,1,0,464666.6666666667,0.039268500141763536
2015,1880000.0,11,0,1,1118333.3333333333,0.0009817922170653338
2015,576500.0,608,1,1,1012166.6666666666,0.05426633345233845
2015,1825000.0,37,0,2,1468333.3333333333,0.008845326320822376
2015,677500.0,152,1,2,1467500.0,0.036337556777432466
2015,770000.0,176,0,3,532166.6666666666,0.02944621047348168
2015,435000.0,115,1,3,540500.0,0.019240421616195415
2015,575500.0,64,1,5,676833.3333333334,0.03967761934283943
2015,900000.0,107,0,6,774916.6666666666,0.01525520387795837
2015,1238000.0,39,0,7,740666.6666666666,0.014008620689655173
2015,2100000.0,33,0,8,1112333.3333333333,0.01109616677874916
2015,912500.0,33,0,10,734583.3333333334,0.009287925696594427
2015,540300.0,163,1,10,767600.0,0.045876723895299745
2016,1110000.0,57,0,0,681333.3333333334,0.008080521689821377
2016,591000.0,371,1,1,1015833.3333333334,0.03311317386647626
2016,818750.0,172,0,3,674583.3333333334,0.02877697841726619
2016,430000.0,128,1,3,561250.0,0.021415425798895767
2016,582500.0,80,1,5,627666.6666666666,0.04959702417854929
2016,900000.0,26,0,10,784266.6666666666,0.007317759639741064
2000,487300.0,556,1,1,551600.0,0.04962513388075687
2000,516000.0,42,0,7,747000.0,0.015086206896551725
2000,370500.0,901,1,9,572000.0,0.05103948337393078
2001,381000.0,113,0,0,641166.6666666666,0.016019279841224837
2001,767500.0,4,0,4,685750.0,0.000125035166140477
2001,325500.0,169,0,6,641833.3333333334,0.02409466780724266
2001,270000.0,271,1,6,498500.0,0.03863701169090391
2001,354000.0,36,0,7,702666.6666666666,0.01293103448275862
2001,800000.0,46,0,8,1183666.6666666667,0.01546738399462004
2001,323000.0,50,0,10,587766.6666666666,0.014072614691809739
2002,342050.0,197,0,3,530266.6666666666,0.03295967876861302
2002,767500.0,4,0,4,685750.0,0.000125035166140477
2002,367562.0,44,1,5,508520.6666666667,0.02727836329820211
2002,351000.0,148,0,6,315500.0,0.021100655831194755
2002,307500.0,224,1,6,309500.0,0.031936127744510975
2002,247000.0,88,1,7,372333.3333333333,0.031609195402298854
2002,870000.0,43,0,8,1256666.6666666667,0.014458641560188298
2002,330000.0,197,1,8,666666.6666666666,0.06624075319435105
2002,422000.0,69,0,10,548333.3333333334,0.01942020827469744
2002,335000.0,104,1,10,360000.0,0.029271038558964256
2003,0.0,288,1,3,257350.0,0.04818470804751548
2003,298200.0,1367,1,4,611066.6666666666,0.04273076802850802
2003,355000.0,39,1,5,435020.6666666667,0.02417854928704278
2003,713500.0,32,0,7,438166.6666666667,0.011494252873563218
2003,375000.0,72,0,10,377333.3333333333,0.020264565156206022
2004,315000.0,201,1,0,602000.0,0.028494471222001702
2004,445000.0,252,1,1,507766.6666666667,0.022491967154587646
2004,355000.0,194,0,3,232350.0,0.0324577547264514
2004,405000.0,67,1,5,375854.0,0.041537507749535026
2004,345000.0,445,1,9,494333.3333333333,0.025208179912762703
2005,440000.0,87,0,0,378666.6666666667,0.012333427842358946
2005,400000.0,152,0,3,251666.66666666666,0.025430818136188724
2005,300750.0,96,1,3,351916.6666666667,0.016061569349171825
2005,317500.0,1119,1,4,461066.6666666667,0.034978587727798445
2005,294444.0,139,1,8,498148.0,0.04673839946200403
2005,370000.0,535,1,9,361833.3333333333,0.030306463490624824
2005,365000.0,73,1,10,358333.3333333333,0.02054601745004222
2006,1150000.0,59,0,2,1217500.0,0.014104709538608654
2006,455000.0,83,1,5,405000.0,0.05145691258524489
2006,463500.0,138,0,6,374000.0,0.019674935842600515
2006,812500.0,68,0,7,591000.0,0.02442528735632184
2006,1081500.0,56,0,8,568648.0,0.01882985877605918
2006,422000.0,817,1,9,379000.0,0.046281085367926134
2006,530000.0,33,0,10,423333.3333333333,0.009287925696594427
2007,1562500.0,64,0,2,1130000.0,0.015300023906287354
2007,502000.0,191,0,3,400916.6666666667,0.031955830684289775
2007,752500.0,132,0,7,759500.0,0.04741379310344827
2007,482500.0,170,1,8,619481.3333333334,0.05716207128446537
2007,767500.0,3,0,9,519833.3333333333,0.0001699427859287373
2008,490000.0,72,0,0,415000.0,0.010206974766090162
2008,492500.0,124,1,5,450833.3333333333,0.07687538747675139
2008,385500.0,62,1,7,650166.6666666666,0.022270114942528736
2008,1917500.0,30,0,8,1160500.0,0.010087424344317418
2008,485850.0,118,1,8,961950.0,0.03967720242098184
2009,607500.0,66,0,0,512500.0,0.009356393535582649
2009,460000.0,255,1,0,519166.6666666667,0.036149702296569323
2009,550000.0,221,0,3,450916.6666666667,0.03697507110590597
2009,337000.0,179,0,6,369333.3333333333,0.0255203877958369
2009,415000.0,392,1,6,405166.6666666667,0.05588822355289421
2009,675000.0,53,0,7,604333.3333333334,0.01903735632183908
2010,640500.0,218,0,3,564166.6666666666,0.036473147063744354
2010,767500.0,4,0,4,461066.6666666667,0.000125035166140477
2010,720000.0,123,0,6,490666.6666666667,0.017536355859709155
2010,14300000.0,33,0,9,5163166.666666667,0.0018693706452161105
2011,520000.0,625,1,0,529166.6666666666,0.08860221151119932
2011,2302000.0,17,0,1,1078100.0,0.0015173152445555158
2011,1352500.0,30,0,2,1355000.0,0.007171886206072197
2011,631250.0,68,1,5,526250.0,0.04215747055176689
2011,975000.0,34,0,7,678500.0,0.01221264367816092
2011,535000.0,90,1,8,979450.0,0.03026227303295225
2011,481000.0,301,1,10,458666.6666666667,0.08471714044469462
2012,580000.0,590,1,1,1109000.0,0.052659764369867905
2012,767500.0,2,0,4,617500.0,6.25175830702385e-05
2012,1180000.0,25,0,7,943333.3333333334,0.008979885057471264
2012,1650000.0,30,0,8,890283.3333333334,0.010087424344317418
2012,530000.0,113,1,8,905000.0,0.03799596503026227
2013,870000.0,82,0,0,616666.6666666666,0.011624610150269351
2013,619500.0,800,1,1,1167166.6666666667,0.07140307033202428
2013,1850000.0,49,0,2,1588333.3333333333,0.011714080803251255
2013,663370.0,211,0,3,617956.6666666666,0.03530199096536724
2013,495000.0,2915,1,4,676666.6666666666,0.09111937732487262
2013,681000.0,143,0,6,605333.3333333334,0.020387795836897635
2013,487500.0,619,1,6,629500.0,0.08825206729398347
2013,1735000.0,24,0,8,1305000.0,0.008069939475453935
2013,933000.0,35,0,10,648000.0,0.009850830284266816
2014,603500.0,178,1,2,1268666.6666666667,0.0425531914893617
2014,662000.0,187,0,3,655290.0,0.031286598628074286
2014,415000.0,136,1,3,580123.3333333334,0.022753889911326753
2014,767500.0,4,0,4,676666.6666666666,0.000125035166140477
2014,800000.0,92,0,6,656166.6666666666,0.01311662389506701
2014,520000.0,619,1,6,602500.0,0.08825206729398347
2014,2605000.0,36,0,8,1623333.3333333333,0.0121049092131809
2014,460000.0,380,1,10,624666.6666666666,0.10695187165775401
2015,952500.0,86,0,0,780833.3333333334,0.012191664303941026
2015,502750.0,294,1,6,607583.3333333334,0.041916167664670656
2015,478750.0,64,1,7,877916.6666666666,0.022988505747126436
2015,545000.0,129,1,8,1628333.3333333333,0.04337592468056489
2015,540000.0,799,1,9,5202500.0,0.045261428652353705
2016,508000.0,162,1,0,776833.3333333334,0.022965693223702864
2016,767500.0,5,0,1,655666.6666666666,0.00044626918957515175
2016,861000.0,87,0,6,627916.6666666666,0.01240376390076989
2016,555000.0,88,1,8,1235000.0,0.029589778076664425
2016,475000.0,115,1,10,622666.6666666666,0.0323670137911624
2000,232500.0,46,1,3,436500.0,0.007696168646478166
2000,172500.0,196,1,6,512083.3333333333,0.027944111776447105
2000,240300.0,66,1,10,391766.6666666667,0.018575851393188854
2001,273000.0,366,1,0,577833.3333333334,0.05188545506095832
2001,525375.0,766,1,1,637458.3333333334,0.06836843984291324
2001,355000.0,63,1,5,492916.6666666667,0.03905765654060756
2001,245750.0,187,1,8,448583.3333333333,0.06287827841291191
2001,292500.0,145,1,10,335933.3333333333,0.040810582606248244
2002,420000.0,108,0,0,400333.3333333333,0.015310462149135243
2002,502000.0,755,1,1,598291.6666666666,0.06738664762584791
2002,285000.0,121,1,3,310833.3333333333,0.020244269700518656
2002,299500.0,1473,1,4,520666.6666666667,0.046044199931230656
2003,296500.0,225,1,0,329833.3333333333,0.03189679614403176
2003,1.0,849,1,1,342458.6666666667,0.07577650838986076
2003,410000.0,185,1,2,954500.0,0.04422663160411188
2003,0.0,27,0,4,355666.6666666667,0.0008439873714482198
2003,393000.0,491,1,9,5077666.666666667,0.027813969297003343
2003,395000.0,181,1,10,309266.6666666667,0.05094286518435125
